date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:00	43870/43870	---M-Z	200	added ('OK')	text/html	etag:%22ab5e-66289be4-9f99a93e3425c49b;gz%22	https://html.themewant.com/unipix/about.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/about.html	(from )
16:59:01	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-650cb906-d8e718ed5d0574ad;gz%22	https://html.themewant.com/robots.txt		(from )
16:59:01	693/693	---M--	200	added ('OK')	image/png	etag:%222b5-66289be4-9500e4ec0ca5660b;;;%22	https://html.themewant.com/unipix/assets/images/fav.png	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/images/fav.png	(from https://html.themewant.com/unipix/about.html)
16:59:01	82527/82527	---M-Z	200	added ('OK')	text/css	etag:%221425f-66289be4-190b720b0a852497;gz%22	https://html.themewant.com/unipix/assets/css/plugins/animate.min.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/plugins/animate.min.css	(from https://html.themewant.com/unipix/about.html)
16:59:08	213827/213827	---M-Z	200	added ('OK')	text/css	etag:%2234343-66289be4-68f8e945e398377e;gz%22	https://html.themewant.com/unipix/assets/css/vendor/bootstrap.min.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/vendor/bootstrap.min.css	(from https://html.themewant.com/unipix/about.html)
16:59:08	538475/538475	---M-Z	200	added ('OK')	text/css	etag:%228376b-66289be4-38859e806dcefdb0;gz%22	https://html.themewant.com/unipix/assets/css/plugins/fontawesome.min.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/plugins/fontawesome.min.css	(from https://html.themewant.com/unipix/about.html)
16:59:09	26126/26126	---M-Z	200	added ('OK')	text/css	etag:%22660e-66289be4-c227312f6f8887a3;gz%22	https://html.themewant.com/unipix/assets/css/plugins/swiper.min.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/plugins/swiper.min.css	(from https://html.themewant.com/unipix/about.html)
16:59:09	8399/8399	---M-Z	200	added ('OK')	text/css	etag:%2220cf-66289be4-6477a54f88721c1d;gz%22	https://html.themewant.com/unipix/assets/css/vendor/magnific-popup.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/vendor/magnific-popup.css	(from https://html.themewant.com/unipix/about.html)
16:59:09	3589/3589	---M-Z	200	added ('OK')	text/css	etag:%22e05-66289be4-34cd83ffd0fe3e1a;gz%22	https://html.themewant.com/unipix/assets/css/vendor/metismenu.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/vendor/metismenu.css	(from https://html.themewant.com/unipix/about.html)
16:59:09	4352/4352	---M-Z	200	added ('OK')	text/css	etag:%221100-66289be4-4a1c48acb8829550;gz%22	https://html.themewant.com/unipix/assets/css/plugins/nice-select.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/plugins/nice-select.css	(from https://html.themewant.com/unipix/about.html)
16:59:09	37586/37586	---M-Z	200	added ('OK')	text/css	etag:%2292d2-66289be4-20b5a78c06db5665;gz%22	https://html.themewant.com/unipix/assets/css/plugins/jquery-ui.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/plugins/jquery-ui.css	(from https://html.themewant.com/unipix/about.html)
16:59:10	474420/474420	---M-Z	200	added ('OK')	text/css	etag:%2273d34-66289be4-9e339a2f979ccc6a;gz%22	https://html.themewant.com/unipix/assets/css/style.css	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/css/style.css	(from https://html.themewant.com/unipix/about.html)
16:59:10	68303/68303	---M-Z	200	added ('OK')	text/html	etag:%2210acf-66289be4-64a69ec47e8d874b;gz%22	https://html.themewant.com/unipix/index.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/index.html	(from https://html.themewant.com/unipix/about.html)
16:59:10	17330/17330	---M-Z	200	added ('OK')	image/svg+xml	etag:%2243b2-66289be4-a486b9b3a9c86cd1;gz%22	https://html.themewant.com/unipix/assets/images/logo/logo__five.svg	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/assets/images/logo/logo__five.svg	(from https://html.themewant.com/unipix/about.html)
16:59:11	69853/69853	---M-Z	200	added ('OK')	text/html	etag:%22110dd-66289be4-dee0fb21a27feb8a;gz%22	https://html.themewant.com/unipix/index-two.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/index-two.html	(from https://html.themewant.com/unipix/about.html)
16:59:11	57264/57264	---M-Z	200	added ('OK')	text/html	etag:%22dfb0-66289be4-9770e884633d9c1a;gz%22	https://html.themewant.com/unipix/index-three.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/index-three.html	(from https://html.themewant.com/unipix/about.html)
16:59:11	94543/94543	---M-Z	200	added ('OK')	text/html	etag:%221714f-66289be4-b1267267f017e906;gz%22	https://html.themewant.com/unipix/index-four.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/index-four.html	(from https://html.themewant.com/unipix/about.html)
16:59:11	69188/69188	---M-Z	200	added ('OK')	text/html	etag:%2210e44-66289be4-4bf76241206a03a8;gz%22	https://html.themewant.com/unipix/index-five.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/index-five.html	(from https://html.themewant.com/unipix/about.html)
16:59:12	32960/32960	---M-Z	200	added ('OK')	text/html	etag:%2280c0-66289be4-1a62476b722d6bc;gz%22	https://html.themewant.com/unipix/athletics.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/athletics.html	(from https://html.themewant.com/unipix/about.html)
16:59:12	38484/38484	---M-Z	200	added ('OK')	text/html	etag:%229654-66289be4-f4a6617cd9eb4c7d;gz%22	https://html.themewant.com/unipix/faculty.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/faculty.html	(from https://html.themewant.com/unipix/about.html)
16:59:12	28798/28798	---M-Z	200	added ('OK')	text/html	etag:%22707e-66289be4-976c1d927917205e;gz%22	https://html.themewant.com/unipix/faculty-details.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/faculty-details.html	(from https://html.themewant.com/unipix/about.html)
16:59:12	33120/33120	---M-Z	200	added ('OK')	text/html	etag:%228160-66289be4-823027ceb941d63d;gz%22	https://html.themewant.com/unipix/research.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/research.html	(from https://html.themewant.com/unipix/about.html)
16:59:13	43057/43057	---M-Z	200	added ('OK')	text/html	etag:%22a831-66289be4-b9e40d852d31db37;gz%22	https://html.themewant.com/unipix/academic.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/academic.html	(from https://html.themewant.com/unipix/about.html)
16:59:13	40619/40619	---M-Z	200	added ('OK')	text/html	etag:%229eab-66289be4-d639435ea88115b3;gz%22	https://html.themewant.com/unipix/admission.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/admission.html	(from https://html.themewant.com/unipix/about.html)
16:59:13	41666/41666	---M-Z	200	added ('OK')	text/html	etag:%22a2c2-66289be4-a51fc076aa417303;gz%22	https://html.themewant.com/unipix/academic-area.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/academic-area.html	(from https://html.themewant.com/unipix/about.html)
16:59:13	33354/33354	---M-Z	200	added ('OK')	text/html	etag:%22824a-66289be4-725f79aaa29e715c;gz%22	https://html.themewant.com/unipix/campus-life.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/campus-life.html	(from https://html.themewant.com/unipix/about.html)
16:59:13	46721/46721	---M-Z	200	added ('OK')	text/html	etag:%22b681-66289be4-d75b32ee43e5721f;gz%22	https://html.themewant.com/unipix/scholarship.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/scholarship.html	(from https://html.themewant.com/unipix/about.html)
16:59:14	41277/41277	---M-Z	200	added ('OK')	text/html	etag:%22a13d-66289be4-da2c7838b298c5e2;gz%22	https://html.themewant.com/unipix/tution-fee.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/tution-fee.html	(from https://html.themewant.com/unipix/about.html)
16:59:14	42232/42232	---M-Z	200	added ('OK')	text/html	etag:%22a4f8-66289be4-fbd8f02a7db2c3d1;gz%22	https://html.themewant.com/unipix/alumni.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/alumni.html	(from https://html.themewant.com/unipix/about.html)
16:59:14	54423/54423	---M-Z	200	added ('OK')	text/html	etag:%22d497-66289be4-a7e070716239c5d4;gz%22	https://html.themewant.com/unipix/program-single.html	C:/Users/12363/Downloads/College%20template%202/html.themewant.com/unipix/program-single.html	(from https://html.themewant.com/unipix/about.html)
